slurm-1398885.out:DATA, 1, 1, 115.749000
slurm-1398885.out:DATA, 1, 1, 107.458000
slurm-1398885.out:DATA, 1, 1, 76.892000
slurm-1398886.out:DATA, 1, 2, 111.898000
slurm-1398886.out:DATA, 1, 2, 101.862000
slurm-1398886.out:DATA, 1, 2, 72.810000
slurm-1398887.out:DATA, 1, 4, 109.759000
slurm-1398887.out:DATA, 1, 4, 102.207000
slurm-1398887.out:DATA, 1, 4, 75.346000
slurm-1398888.out:DATA, 1, 8, 111.763000
slurm-1398888.out:DATA, 1, 8, 101.544000
slurm-1398888.out:DATA, 1, 8, 72.815000
slurm-1398889.out:DATA, 1, 16, 109.577000
slurm-1398889.out:DATA, 1, 16, 99.400000
slurm-1398889.out:DATA, 1, 16, 73.698000
