slurm-1401092.out:DATA, 1, 1, 931.002000
slurm-1401092.out:DATA, 1, 1, 772.264000
slurm-1401092.out:DATA, 1, 1, 782.308000
slurm-1401093.out:DATA, 1, 2, 927.234000
slurm-1401093.out:DATA, 1, 2, 782.924000
slurm-1401093.out:DATA, 1, 2, 794.368000
slurm-1401094.out:DATA, 1, 4, 918.756000
slurm-1401094.out:DATA, 1, 4, 765.972000
slurm-1401094.out:DATA, 1, 4, 775.882000
slurm-1401095.out:DATA, 1, 8, 862.141000
slurm-1401095.out:DATA, 1, 8, 702.210000
slurm-1401095.out:DATA, 1, 8, 711.623000
slurm-1401096.out:DATA, 1, 16, 854.128000
slurm-1401096.out:DATA, 1, 16, 706.140000
slurm-1401096.out:DATA, 1, 16, 717.737000
